day,nitrogen_dioxide,ozone,sulphur_dioxide
1.0,23.77238,64.70858,2.54914
2.0,79.15359,65.83748,2.83386
3.0,78.41728,58.31236,3.68003
4.0,64.74291,20.81765,2.8312
5.0,68.37188,52.75284,4.2468
6.0,78.68025,60.22557,2.54648
7.0,72.26381,66.82701,2.82854
8.0,81.20475,66.56657,2.82854
9.0,41.49647,78.32374,2.26177
10.0,38.39344,70.1279,2.54382
11.0,33.13406,70.48064,2.54382
12.0,44.23134,83.23815,2.2591
13.0,74.8935,71.7983,2.2591
14.0,49.33294,72.32151,1.97705
15.0,56.56075,85.66542,2.5385
16.0,79.08713,70.35707,3.38467
17.0,80.9566,49.93042,3.382
18.0,79.38453,43.84902,4.50757
19.0,99.08567,34.90978,7.88159
20.0,123.64838,57.05656,15.76583
21.0,69.921,56.08848,3.93813
22.0,76.40438,20.72934,6.46333
23.0,101.28265,39.11822,12.36254
24.0,88.22649,64.25505,3.3687
25.0,70.06253,42.21504,3.08664
26.0,65.31953,56.73975,2.52519
27.0,77.6016,47.72168,7.01147
28.0,49.15794,66.54412,3.64277
29.0,68.22796,59.11862,3.91951
30.0,87.71155,50.71606,4.4783
31.0,59.05083,52.81321,2.23782
32.0,46.62484,63.28963,1.95576
33.0,90.27717,41.01962,5.58257
34.0,72.69094,46.02583,3.62415
35.0,60.58657,41.67022,5.0158
36.0,58.01569,43.29023,4.45701
37.0,42.41734,46.38506,3.89556
38.0,51.85839,43.19743,2.78064
39.0,96.84709,57.02613,5.55596
40.0,96.54683,36.97882,7.49309
41.0,92.39543,45.35677,6.65491
42.0,75.93725,47.72783,5.54532
43.0,69.22342,14.32114,3.88225
44.0,61.95608,62.40304,2.77266
45.0,92.44021,67.64824,3.88225
46.0,127.1999,38.06498,12.20023
47.0,93.44794,37.42985,9.42757
48.0,106.22838,58.68057,7.48511
49.0,80.87325,59.94085,3.88225
50.0,52.8352,63.61443,2.21919
51.0,85.22674,54.29801,4.99185
52.0,79.02785,63.01972,3.32613
53.0,76.64344,70.04159,3.60552
54.0,58.47182,75.68543,3.04939
55.0,58.10892,50.55158,2.16597
56.0,89.27885,52.12419,2.43738
57.0,60.90834,58.36824,2.98021
58.0,86.93651,58.46054,5.14618
59.0,26.6636,72.56615,3.78912
60.0,28.18643,75.71187,2.97755
61.0,46.54929,69.23732,2.16597
62.0,59.2263,72.05824,2.43472
63.0,89.88415,64.01058,4.06053
64.0,83.18164,71.08634,5.13554
65.0,70.085,71.68854,4.32662
66.0,49.06184,76.63638,2.43206
67.0,64.4589,66.6464,1.62315
68.0,66.62146,54.11291,3.24364
69.0,90.42539,63.91828,4.04989
70.0,62.4589,58.87664,5.40163
71.0,77.8005,60.63436,5.13022
72.0,71.52702,55.22252,4.86146
73.0,30.00187,64.93559,1.88924
74.0,34.35089,53.40427,2.16065
75.0,59.1039,27.42641,4.04989
76.0,63.65804,26.7788,4.86146
77.0,50.52921,62.62307,2.70081
78.0,38.8773,75.89647,1.88924
79.0,115.48918,81.40061,5.67304
80.0,46.58707,66.3231,3.51239
81.0,52.37477,68.17311,2.70081
82.0,60.71423,67.80291,2.43206
83.0,85.87125,57.39733,2.9669
84.0,103.26687,45.88064,4.31598
85.0,51.30186,67.47961,3.79178
86.0,66.16103,70.34643,2.71944
87.0,32.8338,67.94161,3.0015
88.0,21.737,78.39459,2.73807
89.0,45.98845,68.91352,3.02012
90.0,20.53786,77.05298,3.3075
