day,nitrogen_dioxide,ozone,sulphur_dioxide
186.0,11.475,73.8409,0.79827
187.0,13.19625,57.07702,1.06436
188.0,10.13625,61.46756,0.79827
189.0,15.10875,60.46971,1.06436
190.0,14.9175,76.43531,1.06436
191.0,44.7525,44.90325,1.33045
192.0,30.6,70.64778,1.06436
193.0,48.76875,67.65423,1.06436
194.0,34.23375,78.03187,0.53218
195.0,26.775,88.01037,
196.0,21.22875,56.27874,
197.0,24.0975,77.63273,
198.0,37.29375,79.22929,
199.0,44.37,108.96522,
200.0,48.195,115.95017,
201.0,45.32625,121.13899,
202.0,44.94375,131.11749,
203.0,39.97125,108.56608,
204.0,28.6875,78.83015,
205.0,30.40875,91.40306,
206.0,26.3925,67.65423,
207.0,26.01,106.57038,
208.0,17.78625,84.21854,
209.0,14.1525,60.07057,
210.0,11.475,62.46541,
211.0,12.04875,58.07487,
212.0,26.20125,64.26154,
213.0,14.72625,63.8624,
214.0,21.99375,68.45251,
215.0,42.64875,88.80865,
216.0,46.09125,106.57038,
217.0,15.3,83.8194,
218.0,11.475,64.26154,
219.0,13.77,71.64563,
220.0,13.005,70.64778,
221.0,19.69875,56.87745,
222.0,20.655,72.84305,1.06436
223.0,20.2725,80.42671,1.06436
224.0,20.46375,52.08777,0.53218
225.0,16.83,54.48261,0.53218
226.0,15.10875,78.43101,0.53218
227.0,10.90125,79.22929,0.53218
228.0,43.41375,70.84735,1.33045
229.0,41.50125,40.71228,0.79827
230.0,23.52375,64.66068,0.79827
231.0,22.5675,70.44821,0.79827
232.0,17.595,54.08347,0.53218
233.0,24.67125,52.28734,0.53218
234.0,26.01,72.84305,0.79827
235.0,13.3875,73.04262,0.26609
236.0,16.83,84.41811,1.06436
237.0,11.475,79.62843,0.26609
238.0,8.415,75.23789,0.26609
239.0,13.3875,74.83875,0.53218
240.0,29.835,66.45681,0.53218
241.0,42.26625,75.23789,1.06436
242.0,6.885,71.44606,0.53218
243.0,9.75375,73.04262,0.26609
244.0,14.72625,66.65638,0.26609
245.0,13.005,82.82155,0.53218
246.0,30.2175,95.59403,0.53218
247.0,16.83,91.20349,0.79827
248.0,46.665,149.6775,1.86263
249.0,112.8375,123.13469,1.33045
250.0,88.74,145.6861,2.6609
251.0,63.8775,139.699,2.92699
252.0,24.67125,61.66713,0.53218
253.0,17.595,75.63703,0.53218
254.0,23.90625,88.20994,1.06436
255.0,37.1025,78.63058,1.06436
256.0,29.07,74.63918,0.53218
257.0,46.47375,59.07272,0.79827
258.0,57.18375,68.85165,1.06436
259.0,47.8125,77.23359,1.33045
260.0,32.895,78.23144,0.53218
261.0,55.08,97.39016,1.06436
262.0,47.23875,52.88605,1.33045
263.0,34.99875,63.26369,0.79827
264.0,61.00875,66.25724,2.12872
265.0,37.67625,79.62843,1.33045
266.0,37.1025,53.08562,1.33045
267.0,29.835,69.8495,0.79827
268.0,41.88375,34.32604,0.79827
269.0,41.50125,94.39661,1.06436
270.0,17.2125,80.42671,0.79827
271.0,34.23375,72.84305,0.79827
272.0,38.05875,56.27874,0.53218
273.0,26.20125,66.85595,0.79827
274.0,47.23875,73.8409,1.06436
275.0,25.81875,70.44821,1.06436
276.0,14.72625,72.44391,1.06436
277.0,29.4525,76.83445,1.06436
278.0,26.3925,80.82585,2.12872
279.0,59.09625,65.45896,1.06436
280.0,35.76375,40.71228,0.53218
281.0,47.43,46.89895,0.79827
282.0,59.47875,58.07487,2.12872
283.0,50.68125,59.27229,1.59654
284.0,53.1675,48.29594,1.33045
285.0,48.38625,46.69938,1.59654
286.0,49.15125,44.10497,1.59654
287.0,38.82375,66.25724,1.33045
288.0,68.4675,66.45681,1.86263
289.0,62.15625,41.9097,1.86263
290.0,48.00375,67.65423,0.79827
291.0,45.32625,47.49766,1.06436
292.0,11.28375,54.08347,0.79827
293.0,26.20125,77.43316,0.79827
294.0,57.7575,65.45896,1.06436
295.0,43.79625,64.86025,2.39481
296.0,31.17375,71.8452,0.53218
297.0,14.9175,76.83445,0.79827
298.0,55.65375,67.05552,0.79827
299.0,25.6275,68.65208,0.53218
300.0,13.77,77.8323,6.91834
301.0,22.37625,67.05552,0.53218
302.0,30.02625,79.02972,0.79827
303.0,32.895,74.04047,0.79827
304.0,23.90625,79.22929,0.79827
305.0,51.6375,74.04047,1.86263
306.0,74.77875,45.9011,4.25744
307.0,60.0525,53.48476,5.58789
308.0,46.47375,56.87745,0.79827
309.0,55.845,43.50626,2.39481
310.0,30.6,66.25724,0.79827
311.0,57.375,70.24864,0.79827
312.0,44.56125,41.31099,1.86263
313.0,38.25,65.25939,1.06436
314.0,42.26625,57.07702,0.79827
315.0,39.58875,63.46326,0.79827
316.0,21.22875,67.05552,1.06436
317.0,36.14625,48.29594,1.06436
318.0,22.75875,45.10282,1.59654
319.0,59.09625,24.54711,1.86263
320.0,59.09625,28.53851,4.25744
321.0,66.36375,50.89035,2.39481
322.0,43.605,47.49766,1.33045
323.0,44.7525,46.89895,1.33045
324.0,35.19,68.85165,1.33045
325.0,34.61625,60.07057,1.33045
326.0,35.19,56.27874,1.59654
327.0,68.27625,14.76818,3.99135
328.0,67.89375,40.31314,5.58789
329.0,61.00875,48.69508,1.33045
330.0,39.015,65.45896,2.12872
331.0,13.3875,65.8581,1.86263
332.0,36.14625,63.66283,1.86263
333.0,56.03625,36.12217,2.12872
334.0,29.26125,67.25509,1.33045
335.0,33.2775,66.45681,1.06436
336.0,62.15625,52.08777,1.06436
337.0,68.65875,63.46326,3.72526
338.0,52.21125,63.06412,3.45917
339.0,19.125,61.8667,0.79827
340.0,47.62125,56.47831,1.06436
341.0,62.15625,70.24864,0.79827
342.0,20.08125,74.83875,1.33045
343.0,56.03625,64.06197,1.33045
344.0,42.26625,70.04907,1.06436
345.0,49.3425,49.8925,0.79827
346.0,16.25625,59.67143,0.79827
347.0,28.49625,63.26369,0.79827
348.0,34.99875,44.10497,1.33045
349.0,40.1625,51.68863,0.79827
350.0,63.495,54.48261,1.33045
351.0,34.99875,56.87745,0.53218
352.0,23.14125,48.89465,0.53218
353.0,28.87875,53.28519,0.53218
354.0,38.44125,66.05767,0.79827
355.0,55.4625,63.46326,1.33045
356.0,52.21125,18.36044,1.33045
357.0,37.29375,32.33034,1.06436
358.0,46.09125,50.69078,1.06436
359.0,26.20125,47.29809,0.79827
360.0,48.00375,38.91615,3.45917
361.0,27.34875,63.66283,1.33045
362.0,16.25625,79.02972,1.33045
363.0,23.52375,69.45036,1.06436
364.0,8.7975,55.28089,0.53218
365.0,15.49125,58.07487,0.79827
