day,nitrogen_dioxide,ozone,sulphur_dioxide
1.0,35.06217,71.74542,3.40169
2.0,129.45096,66.00778,7.65364
3.0,50.68107,84.26843,3.82673
4.0,73.25375,74.98843,4.88961
5.0,82.2936,69.94929,6.80278
6.0,81.33058,52.23745,6.37747
7.0,30.72815,56.87745,1.9132
8.0,41.83156,44.554,3.18859
9.0,45.54192,9.42968,5.95191
10.0,104.96428,50.5411,11.46794
11.0,84.12683,8.6314,8.91116
12.0,66.38265,53.93379,2.75563
13.0,39.67385,45.50196,2.54127
14.0,42.35667,31.9312,2.96203
15.0,47.00275,63.36348,3.382
16.0,51.3486,66.70627,7.40794
17.0,53.25625,73.34198,2.54323
18.0,47.11811,80.4766,2.12216
19.0,74.03385,52.73637,3.18745
20.0,75.08943,53.33508,2.34054
21.0,71.83955,42.50841,3.40891
22.0,75.24492,54.68218,3.84008
23.0,38.62918,68.45251,2.38826
24.0,46.76156,73.39187,4.24835
25.0,63.49144,63.56305,2.12546
26.0,172.92733,39.46497,24.19158
27.0,60.69978,56.22885,3.45802
28.0,21.52,70.14886,1.86313
29.0,74.8982,71.79531,2.39689
30.0,125.51072,50.591,21.05198
31.0,52.4009,73.24219,2.13312
32.0,67.53505,58.07487,2.4012
33.0,69.21328,52.63659,3.47048
34.0,80.71521,42.50841,2.40408
35.0,33.02303,57.17681,1.87096
36.0,48.24343,56.17896,2.40696
37.0,75.53685,52.98584,4.28159
38.0,93.98889,46.84906,5.08743
39.0,108.85076,62.41552,11.782
40.0,63.83065,60.86885,2.14229
41.0,67.42119,48.09637,2.1424
42.0,26.77808,,2.41032
43.0,79.98808,,2.14261
44.0,70.20108,49.2439,5.3568
45.0,67.32466,61.81681,2.67853
46.0,61.42221,67.2052,2.14294
47.0,69.64651,57.17681,2.94668
48.0,86.97051,64.5609,6.42945
49.0,66.12434,66.80606,2.14326
50.0,52.62691,47.43114,2.67921
51.0,35.90936,63.81251,1.87554
52.0,62.81046,52.93594,2.41153
53.0,64.39904,57.97509,5.35922
54.0,67.71994,48.64519,2.94729
55.0,50.01302,58.27444,3.75072
56.0,36.90186,65.80821,2.67883
57.0,42.04987,71.54585,1.60714
58.0,88.03189,68.45251,3.21397
59.0,64.70677,61.66713,2.67804
60.0,43.83909,53.18541,4.28445
61.0,68.62477,53.8839,2.14202
62.0,76.4377,30.53421,2.40953
63.0,66.66924,65.10971,2.9447
64.0,64.40567,71.59574,2.14139
65.0,84.45165,64.91014,4.28236
66.0,86.05139,64.81036,5.62192
67.0,63.65334,71.59574,3.21328
68.0,78.8471,45.95099,5.62456
69.0,46.10086,59.07272,2.14319
70.0,78.82246,53.93379,4.01943
71.0,66.02998,48.5953,3.75235
72.0,76.85949,56.72777,3.75323
73.0,55.16401,73.89079,2.94966
74.0,151.75511,79.22929,6.43712
75.0,93.95294,84.11876,2.41449
76.0,24.87651,62.86455,1.61003
77.0,35.87656,59.13924,1.61041
78.0,28.07103,86.91274,1.87925
79.0,54.40101,86.56349,1.61117
80.0,75.7176,70.69767,3.49168
81.0,51.37072,80.32693,2.68684
82.0,33.16882,89.40736,1.88145
83.0,56.46392,59.13924,1.88211
84.0,80.3765,75.63703,3.76552
85.0,73.58258,78.5308,3.22872
86.0,54.92448,86.16435,2.42238
87.0,79.4309,68.5523,2.69247
88.0,86.25163,74.24004,16.16047
89.0,55.92528,66.19072,2.96379
90.0,28.26927,59.67143,2.15623
91.0,40.97324,75.88649,2.15698
92.0,37.72074,71.39617,1.88802
93.0,33.49056,83.37037,
94.0,36.74835,83.02112,
95.0,37.19351,77.73252,
96.0,80.98067,83.8194,1.61993
97.0,73.77708,82.42241,2.70031
98.0,43.3134,59.27229,1.35037
99.0,72.71663,49.19401,1.89081
100.0,54.00404,66.45681,1.89111
101.0,42.25571,41.36088,1.89141
102.0,36.19655,54.13336,2.16194
103.0,48.18979,54.48261,2.70285
104.0,87.49061,100.38371,3.78459
105.0,67.55293,91.45295,2.7037
106.0,37.12467,93.59833,2.1633
107.0,32.48555,90.70457,2.70455
108.0,100.62582,101.03231,2.43447
109.0,99.13791,138.75104,7.84165
110.0,55.76447,104.12565,3.24367
111.0,87.37877,88.5093,4.32337
112.0,63.95466,117.59662,2.70115
113.0,40.7432,78.33123,4.05029
114.0,28.01484,75.30441,2.15939
115.0,29.49046,79.67832,4.04743
116.0,29.0491,91.75231,1.6184
117.0,66.60412,64.5609,3.23565
118.0,37.15515,70.39832,1.8868
119.0,13.44526,84.86714,1.61668
120.0,74.79304,88.40951,2.42416
121.0,57.00745,85.96478,2.96181
122.0,86.10429,85.76521,2.42244
123.0,64.72639,82.42241,2.95971
124.0,65.53681,78.4809,1.88625
125.0,94.15263,106.37081,2.69863
126.0,76.87489,131.81599,6.21602
127.0,119.12988,157.76009,5.68387
128.0,121.92257,140.74674,6.77649
129.0,43.56431,95.44435,2.71459
130.0,50.98473,94.4465,5.70901
131.0,38.10526,94.34672,2.17805
132.0,49.2178,73.24219,2.18124
133.0,87.97611,96.79145,3.0036
134.0,66.10928,95.54414,3.28144
135.0,33.46861,113.55533,6.29861
136.0,16.92863,102.97812,4.11377
137.0,25.98543,84.5179,1.37017
138.0,73.17632,79.92779,2.46435
139.0,72.91085,101.58113,3.00959
140.0,48.88986,104.67447,2.73382
141.0,92.22322,103.47705,4.37063
142.0,24.83885,103.32737,3.27536
143.0,27.19772,104.44163,1.90911
144.0,66.40103,81.89022,2.1801
145.0,65.1259,91.13697,1.63377
146.0,58.52568,132.01556,2.17662
147.0,35.83653,115.50114,1.90302
148.0,67.6688,111.70931,2.17314
149.0,40.87349,90.60478,2.1714
150.0,76.47913,81.32478,2.44087
151.0,63.87351,88.95833,1.62739
152.0,56.46281,77.63273,1.35628
153.0,53.28253,94.74586,1.35641
154.0,47.77538,111.06071,1.89914
155.0,30.88549,82.22284,1.62798
156.0,23.22566,83.91919,2.44219
157.0,50.08349,92.35102,2.98517
158.0,40.85555,74.5394,3.25685
159.0,26.72972,100.63317,2.71429
160.0,35.64597,91.1536,2.17162
161.0,35.2804,87.21209,1.90034
162.0,30.06959,86.81295,2.44352
163.0,32.54717,65.45896,1.62916
164.0,45.10711,92.35102,2.44396
165.0,52.85426,79.828,2.44418
166.0,54.8856,85.51575,2.71762
167.0,27.23059,74.24004,2.71948
168.0,12.90856,69.50025,1.90494
169.0,16.46816,71.14671,1.90624
170.0,16.03152,39.46497,1.90754
171.0,18.14318,53.18541,2.18153
172.0,22.34845,80.62628,1.63727
173.0,47.03445,87.66112,1.63838
174.0,30.31656,89.50715,3.00574
175.0,58.00267,124.28222,3.55466
176.0,60.43498,157.06159,3.00983
177.0,72.8219,97.83919,2.73807
178.0,42.19646,87.36177,1.91795
179.0,31.19066,102.82844,1.91747
180.0,40.04645,101.08221,3.83399
181.0,26.62073,109.66372,2.4641
182.0,27.93226,148.92911,3.01092
183.0,36.81712,119.0934,4.65208
184.0,30.49786,105.22328,1.91508
185.0,76.13589,108.11705,2.46163
186.0,47.77593,135.85728,3.82825
187.0,52.22177,118.14544,1.91365
188.0,81.3723,125.67921,6.83275
189.0,43.94136,112.95662,2.18593
190.0,67.03133,101.68092,2.73173
191.0,16.92632,64.76047,2.71553
192.0,25.56295,77.63273,1.63424
193.0,49.1893,95.29468,1.91235
194.0,54.5738,108.66587,1.64408
195.0,44.85405,128.02416,1.92384
196.0,44.11102,133.81169,2.20523
197.0,60.73204,117.89598,3.04122
198.0,23.83196,65.45896,2.49566
199.0,45.7386,88.5093,2.50304
200.0,57.96235,107.91748,3.06829
201.0,60.43632,95.59403,5.31536
202.0,35.49189,149.97686,1.96403
203.0,35.91328,90.30543,2.53257
204.0,43.02037,103.57683,2.25774
205.0,27.89515,109.36436,1.69822
206.0,66.6562,121.78759,2.83858
207.0,62.55446,146.23492,2.83838
208.0,49.92321,141.54502,1.70292
209.0,12.82334,69.8495,2.5542
210.0,11.77952,,3.68914
211.0,16.1889,38.41723,4.54017
