day,nitrogen_dioxide,ozone,sulphur_dioxide
1.0,19.5883,77.78241,2.56777
2.0,49.6069,78.23144,2.33361
3.0,32.71236,82.67187,2.33095
4.0,72.56742,73.59144,2.79661
5.0,67.88419,64.06197,2.09679
6.0,29.6667,74.33983,2.55979
7.0,32.60048,74.33983,2.09413
8.0,65.90284,60.86885,1.85997
9.0,69.61118,75.48735,3.25694
10.0,89.50739,54.43272,6.04024
11.0,173.73246,59.27229,9.75752
12.0,112.97584,49.29379,11.13853
13.0,77.91334,65.65853,3.48046
14.0,76.25377,53.58455,3.24364
15.0,63.66473,66.75617,3.24364
16.0,60.82993,69.8495,2.54914
17.0,65.39507,76.08606,2.08615
18.0,57.82157,44.95314,3.01214
19.0,86.37519,52.33723,2.54914
20.0,135.95628,6.6856,19.00415
21.0,110.14725,45.05293,12.51421
22.0,88.57313,50.04218,4.40379
23.0,66.66736,61.2181,3.01214
24.0,81.25639,38.46712,4.17229
25.0,49.87418,70.69767,2.77798
26.0,46.22752,71.29638,4.16697
27.0,63.93344,68.80176,4.39847
28.0,62.33603,65.30928,4.62997
29.0,72.05344,56.62799,4.37718
30.0,80.57793,15.91571,6.72942
31.0,83.85022,56.82756,11.4605
32.0,33.55625,78.18155,3.93547
33.0,59.76084,66.95574,2.31498
34.0,61.05608,51.68863,3.24098
35.0,56.21698,68.80176,2.77798
36.0,28.63825,73.14241,3.47248
37.0,73.08284,75.88649,4.16697
38.0,53.83783,72.24434,3.47248
39.0,20.27919,75.43746,3.70397
40.0,39.22155,76.4852,3.24098
41.0,84.64582,54.68218,3.93547
42.0,66.81319,64.511,4.86146
43.0,46.42976,69.60004,3.04141
44.0,65.54568,73.99058,3.04407
45.0,61.52273,76.83445,4.22019
46.0,34.35233,79.07961,3.75453
47.0,74.55164,60.17036,1.8786
48.0,62.22606,53.78412,1.6471
49.0,75.25496,58.62369,2.11808
50.0,66.31116,51.63874,3.06004
51.0,69.61739,67.10541,3.06536
52.0,53.3315,70.59789,2.59704
53.0,43.01547,72.39402,2.83652
54.0,22.81613,76.98413,2.12872
55.0,55.47971,68.40262,4.02594
56.0,44.25955,82.42241,3.55496
57.0,46.93562,55.58025,
58.0,57.0733,73.99058,3.95942
59.0,71.82633,44.75357,3.26226
60.0,91.37112,58.67358,5.6012
61.0,63.5256,71.29638,4.43838
62.0,93.21812,64.91014,6.08016
63.0,104.99482,39.06583,9.83469
64.0,96.90494,53.73422,8.42973
65.0,59.2679,75.23789,3.04673
66.0,90.09979,54.13336,3.98869
67.0,66.98531,88.20994,3.99401
68.0,98.01515,96.74156,5.40961
69.0,101.81768,68.25294,8.94861
70.0,47.74222,75.8366,2.12074
71.0,114.08302,35.47357,5.90188
72.0,98.08639,56.07917,9.19341
73.0,98.54491,58.42412,10.58506
74.0,46.03961,83.86929,2.11542
75.0,62.77064,84.01897,1.8786
76.0,55.39652,50.44132,3.28089
77.0,44.33701,67.00563,2.57309
78.0,57.33818,62.91444,2.10211
79.0,29.02697,84.21854,3.03343
80.0,55.83448,77.53295,6.75336
81.0,52.92605,84.76736,5.34841
82.0,36.82662,82.42241,3.25162
83.0,77.57435,78.43101,6.49792
84.0,82.08546,78.83015,3.47248
85.0,89.99317,62.16606,5.77948
86.0,82.54733,60.41982,4.39847
87.0,91.86981,56.72777,4.86679
88.0,104.00844,99.38586,9.51272
89.0,94.52388,90.60478,10.23382
90.0,86.59513,70.84735,4.19092
91.0,96.10743,64.76047,8.80758
92.0,99.43183,46.89895,8.12107
93.0,81.87158,62.81466,8.35257
94.0,52.80604,71.24649,4.40911
95.0,48.16823,83.32048,3.25162
96.0,20.63348,56.32863,1.85731
97.0,30.23758,66.15746,3.02012
98.0,80.58701,84.61768,19.07067
99.0,71.27696,70.04907,2.82588
100.0,62.71996,76.08606,3.75453
101.0,92.12895,80.37682,7.25095
102.0,83.29703,76.18585,5.82737
103.0,39.33248,87.96048,2.32031
104.0,56.5947,77.58284,2.08082
105.0,57.38791,71.8452,2.99617
106.0,73.56766,100.33382,16.60934
107.0,79.22244,85.51575,6.92898
108.0,46.52156,88.75876,2.77532
109.0,33.06968,85.86499,3.93547
110.0,75.63029,79.77811,3.01214
111.0,62.89113,95.44435,4.18027
112.0,55.31189,84.5179,2.09413
113.0,70.55069,79.47875,2.55979
114.0,76.36995,76.18585,3.03077
115.0,56.80508,71.99488,4.20156
116.0,35.87515,87.96048,2.33627
117.0,35.83117,75.08821,2.57309
118.0,75.56957,71.64563,1.87327
119.0,91.28745,67.25509,2.11009
120.0,81.00585,97.83919,5.86729
121.0,73.10101,70.4981,2.11542
122.0,42.80988,79.67832,2.11808
123.0,54.1926,89.20779,1.4156
124.0,32.67267,110.11275,3.30484
125.0,34.68128,121.7377,3.54432
126.0,37.46301,86.4637,2.60236
127.0,26.33895,72.69337,2.3682
128.0,42.47758,73.49165,2.82588
129.0,31.96983,78.13166,2.59172
130.0,20.39825,73.69122,3.7838
131.0,34.25288,75.30441,4.25744
132.0,56.10558,75.188,3.7838
133.0,80.44979,64.5609,2.60236
134.0,88.87292,73.79101,5.91252
135.0,62.91934,82.62198,4.49426
136.0,79.03024,89.45725,5.1994
137.0,91.06799,99.63532,4.72576
138.0,65.59875,129.27147,2.83652
