day,nitrogen_dioxide,ozone,sulphur_dioxide
1.0,23.90625,73.24219,
2.0,61.2,56.07917,
3.0,56.61,68.65208,
4.0,22.75875,71.24649,
5.0,24.0975,67.25509,
6.0,32.895,68.25294,
7.0,11.8575,77.23359,
8.0,20.2725,72.24434,
9.0,34.61625,62.26584,
10.0,32.5125,65.8581,
11.0,21.8025,68.65208,
12.0,16.065,70.44821,
13.0,29.835,72.64348,
14.0,21.42,70.24864,
15.0,34.99875,73.04262,
16.0,68.27625,64.66068,
17.0,93.13875,3.9914,
18.0,72.10125,46.89895,
19.0,70.18875,43.10712,
20.0,64.06875,44.50411,
21.0,75.92625,42.50841,
22.0,105.1875,5.18882,
23.0,106.90875,30.33464,
24.0,73.24875,46.49981,
25.0,64.6425,40.51271,
26.0,28.87875,58.67358,
27.0,54.12375,57.07702,
28.0,62.73,49.8925,
29.0,43.03125,48.69508,
30.0,71.91,54.88175,
31.0,49.15125,55.8796,
32.0,29.4525,63.26369,
33.0,39.58875,62.86455,
34.0,56.61,63.66283,
35.0,58.71375,66.25724,
36.0,71.145,62.46541,
37.0,92.565,42.30884,
38.0,100.5975,39.11572,
39.0,88.3575,32.52991,
40.0,88.93125,60.27014,
41.0,72.86625,53.28519,
42.0,39.3975,54.28304,
43.0,25.81875,56.27874,
44.0,40.9275,52.48691,
45.0,88.54875,27.14152,
46.0,72.48375,74.43961,1.86263
47.0,35.19,63.8624,1.59654
48.0,26.01,63.26369,1.59654
49.0,26.58375,78.43101,1.33045
50.0,26.01,67.05552,1.33045
51.0,29.4525,67.8538,1.59654
52.0,32.895,54.08347,1.59654
53.0,41.50125,36.12217,1.86263
54.0,55.08,64.06197,1.59654
55.0,67.51125,65.45896,2.92699
56.0,24.0975,70.04907,1.33045
57.0,34.425,70.64778,1.33045
58.0,32.13,65.45896,1.06436
59.0,41.6925,67.65423,1.06436
60.0,29.835,65.25939,1.59654
61.0,32.895,66.65638,1.33045
62.0,30.79125,75.43746,1.33045
63.0,26.20125,79.02972,1.33045
64.0,34.99875,61.66713,1.33045
65.0,35.38125,57.07702,5.3218
