day,nitrogen_dioxide,ozone,sulphur_dioxide
1.0,35.49735,59.62154,1.82866
2.0,52.5069,65.45896,1.52388
3.0,60.79369,63.61294,1.82794
4.0,63.74514,45.30239,2.13175
5.0,63.1644,52.83616,2.13092
6.0,52.33744,45.15271,7.91171
7.0,55.3132,60.22025,2.12924
8.0,53.99109,60.00405,2.1284
9.0,63.89644,51.8882,2.12756
10.0,74.37521,22.85077,5.16488
11.0,71.6309,33.86038,3.34066
12.0,46.54156,53.73422,1.82146
13.0,21.89517,77.38327,2.1242
14.0,62.94106,71.51258,2.12336
15.0,66.61161,57.37638,2.72895
16.0,68.85918,69.98255,2.11835
17.0,77.01858,55.231,4.22835
18.0,82.38459,56.87745,3.31572
19.0,63.96281,56.5781,1.50416
20.0,70.15652,38.96604,2.70213
21.0,82.62339,46.5497,9.88815
22.0,83.7504,74.09036,4.49461
23.0,89.56932,63.41337,8.0903
24.0,86.54365,11.57506,8.98923
25.0,70.64681,34.92475,5.39354
26.0,34.93019,70.64778,3.89533
27.0,17.92553,69.58341,9.28886
28.0,88.53373,64.86025,4.49461
29.0,77.94662,55.43057,5.60175
30.0,88.89538,45.75142,8.73873
31.0,108.49995,50.84046,12.99605
32.0,45.6607,75.33768,3.80919
33.0,39.86029,54.43272,3.80919
34.0,71.99512,57.82541,4.92954
35.0,66.6693,68.35273,2.01663
36.0,55.83878,46.20046,2.01663
37.0,65.20257,54.63229,2.2407
38.0,45.34911,80.42671,2.46477
39.0,22.82123,73.74112,10.21877
40.0,27.66993,82.32263,5.82457
41.0,50.2419,68.30283,1.94977
42.0,77.75937,55.92949,4.19574
43.0,66.65038,56.12906,3.65162
44.0,51.92632,59.62154,2.25259
45.0,82.70019,38.96604,8.18532
46.0,78.83116,52.03788,3.67811
47.0,78.16419,54.5325,2.5525
48.0,45.40418,72.84305,3.1272
49.0,41.0288,68.78513,3.41964
50.0,56.99229,72.34413,2.57085
51.0,38.16043,74.68907,3.43595
52.0,52.0305,68.5523,3.15709
53.0,82.23585,55.33078,4.02763
54.0,92.07432,57.82541,5.19061
55.0,92.31659,34.82497,4.3357
56.0,105.66688,30.38453,10.43014
57.0,110.01849,44.75357,14.22988
58.0,113.27659,66.25724,10.18798
59.0,69.18358,74.5394,2.0376
60.0,55.66364,60.17036,2.61977
61.0,32.35145,82.77166,3.78411
62.0,20.78071,96.04306,2.91085
63.0,40.68918,88.34299,1.74651
64.0,26.91844,77.56621,2.6609
65.0,28.99039,85.01682,2.66309
66.0,22.06544,81.8237,3.19308
67.0,61.47407,75.48735,2.93423
68.0,28.42283,92.84994,2.93664
69.0,40.66918,86.4637,2.67187
70.0,47.21485,82.82155,3.47627
71.0,41.58102,89.00822,3.47912
72.0,28.02982,82.5222,4.81958
73.0,44.82534,92.5007,2.94672
74.0,23.19161,77.03402,2.1441
75.0,17.13901,97.34027,3.48585
76.0,41.21418,85.71532,2.41444
77.0,75.83175,73.29208,2.14721
78.0,56.24122,55.48046,3.75942
79.0,37.80366,60.41982,3.49257
80.0,51.47884,61.13494,5.10698
81.0,40.98553,62.96434,1.61351
82.0,54.09955,76.68477,3.76666
83.0,62.29542,88.90844,6.7294
84.0,56.85896,85.46585,5.65541
85.0,94.11744,81.22499,7.27474
86.0,87.68193,78.58069,8.89561
87.0,85.11883,74.28993,7.8211
88.0,92.75282,97.39016,8.3645
89.0,88.60987,98.53769,6.47884
90.0,31.78775,95.44435,11.61348
91.0,61.12579,98.98672,4.59358
92.0,64.84786,78.4809,8.92121
93.0,62.40127,81.57424,5.95031
94.0,43.0256,89.85639,3.51777
95.0,54.73019,97.73941,2.70727
96.0,28.82767,80.77596,3.79199
97.0,27.74146,80.12736,2.70986
98.0,75.58606,84.468,3.25338
99.0,64.62088,95.94328,3.52618
100.0,24.45764,88.74213,4.61335
101.0,38.15652,95.49425,3.25804
102.0,42.62085,88.11016,8.4206
103.0,38.5773,98.33812,5.70699
104.0,52.32612,102.27963,3.26269
105.0,53.43414,87.21209,4.0803
106.0,87.36396,75.78671,4.89869
107.0,68.20981,85.76521,3.8119
108.0,56.17615,116.84824,2.99649
109.0,83.64301,134.95921,4.63313
110.0,52.80247,145.58632,2.72666
111.0,53.05182,157.71019,4.36473
112.0,99.78239,153.81858,4.91255
113.0,67.23551,87.86069,5.18803
114.0,76.57325,103.27748,3.82457
115.0,22.77972,96.59188,2.73313
116.0,30.01518,95.29468,1.91409
117.0,14.27326,97.05754,2.46214
118.0,27.56926,83.12091,2.4633
119.0,46.21448,78.23144,2.19064
120.0,55.79141,80.37682,1.64375
121.0,43.69851,99.18629,3.01497
122.0,44.47978,83.27058,3.29061
123.0,42.11651,64.66068,2.74347
124.0,29.40459,,5.76399
125.0,35.3616,,3.02066
126.0,37.58303,,3.29681
127.0,37.41369,,2.47377
128.0,45.4993,,2.76221
129.0,48.24185,,4.16367
130.0,39.4616,85.71532,3.34722
131.0,43.13008,93.34887,5.32556
132.0,46.43964,94.59618,3.3798
133.0,38.72276,93.1493,2.83007
134.0,37.66885,99.38586,3.41237
135.0,44.87527,99.23618,4.28582
136.0,35.92596,104.57468,3.15786
137.0,31.43111,78.36449,6.63402
138.0,66.46054,78.33123,3.18772
139.0,62.04413,90.4551,2.62035
140.0,59.51179,85.21639,3.21758
141.0,40.34961,100.38371,1.76318
142.0,34.90864,108.66587,3.23463
143.0,32.98478,121.83749,2.35399
144.0,54.89893,73.14241,2.64998
145.0,24.28097,,2.35707
146.0,48.4183,,2.35861
147.0,37.52229,,2.36015
148.0,37.10231,83.07101,2.3617
149.0,23.50641,70.59789,3.54485
150.0,20.7938,63.61294,2.06918
151.0,24.59638,53.53465,3.54947
152.0,25.69947,96.89124,2.66384
153.0,24.61071,91.65252,3.85027
154.0,17.12186,81.32478,3.26004
155.0,47.21965,64.59416,3.26215
156.0,20.20957,71.09681,3.86404
157.0,28.30019,83.61983,2.08536
158.0,42.69591,88.75876,3.583
159.0,18.00239,67.60434,2.39406
160.0,31.76414,79.87789,4.49898
161.0,29.13658,66.00778,2.40485
162.0,36.00951,63.66283,2.71153
163.0,44.26873,64.46111,2.11369
164.0,28.4959,76.03617,1.81578
165.0,23.52527,80.17725,1.81983
166.0,17.43806,78.18155,3.03979
167.0,13.15953,71.44606,2.74188
168.0,19.34976,83.8194,2.74796
169.0,61.79943,64.11186,2.13917
170.0,44.59315,63.8624,1.52932
171.0,28.44915,71.99488,1.83679
172.0,28.13943,74.88864,3.98319
173.0,36.77834,89.55704,2.76001
174.0,32.32605,118.49469,4.29709
175.0,52.93221,85.8151,3.99364
176.0,44.50449,70.24864,2.45976
177.0,17.63386,81.37467,1.53869
178.0,16.47642,83.07101,2.46405
179.0,30.4604,65.00993,3.08274
180.0,52.11837,146.43449,3.39396
181.0,12.96413,93.53181,1.85286
182.0,16.11939,69.64993,2.16354
183.0,31.0488,76.93424,2.7841
184.0,39.22372,94.09726,3.09613
185.0,51.99582,93.59833,2.47904
186.0,62.32548,110.06286,2.46834
187.0,33.70365,56.27874,4.91528
188.0,28.54657,74.43961,
189.0,34.69585,91.50285,
190.0,26.87364,92.70027,
191.0,37.68473,104.32522,
192.0,28.32195,84.21854,4.20722
193.0,15.14834,75.48735,4.78685
194.0,20.15331,70.44821,3.57408
195.0,24.99421,64.96004,4.15104
196.0,28.98697,72.44391,2.98051
197.0,30.65968,118.79404,2.42069
198.0,26.62683,116.79834,3.34105
199.0,28.1631,70.4981,3.65852
200.0,24.56744,44.90325,3.36624
201.0,13.93599,69.05122,4.30033
202.0,19.43175,63.81251,4.00805
203.0,21.53724,63.31358,3.40402
204.0,52.26524,136.45599,4.03782
205.0,64.16275,125.62932,3.74096
206.0,65.49017,174.37429,6.25783
207.0,56.67379,68.40262,9.10705
208.0,33.92007,66.5067,5.67326
209.0,41.81112,67.90369,5.06122
210.0,25.31242,93.34887,5.07954
211.0,20.89122,66.65638,2.03598
212.0,26.58674,70.04907,2.03808
213.0,30.68589,91.60263,3.57034
214.0,42.16229,90.10586,1.80835
215.0,24.56059,94.19704,1.04659
216.0,27.69474,111.16049,3.7094
217.0,17.90028,76.73467,2.95095
218.0,12.55407,69.8495,2.44422
219.0,28.50526,66.80606,1.92424
220.0,22.99155,70.89724,1.39101
221.0,19.31678,69.74972,1.12605
222.0,15.55045,70.4981,1.70894
223.0,23.03344,75.188,1.15254
224.0,45.39037,61.2181,1.16579
225.0,29.64688,83.1708,2.65281
226.0,27.89253,53.13551,1.46707
227.0,53.87265,71.39617,1.75243
228.0,38.87127,51.04003,1.16291
229.0,12.87158,64.11186,2.31508
230.0,17.84741,69.64993,1.44021
231.0,35.88847,69.8495,1.4335
232.0,66.28762,89.60693,1.71214
233.0,34.26525,87.66112,1.70408
234.0,25.42723,78.4809,1.69602
235.0,85.15571,97.53984,3.65726
236.0,106.35098,154.76654,5.03973
237.0,117.21423,149.77729,8.6379
238.0,121.84917,150.67535,11.36926
239.0,112.82882,155.76439,4.69125
240.0,28.5404,79.1794,3.29536
241.0,23.73664,79.77811,1.09308
242.0,19.82394,81.32478,2.17542
243.0,46.86943,81.57424,1.89409
244.0,45.72027,71.69552,1.34621
245.0,56.57477,75.28778,2.14319
246.0,25.01887,70.29853,1.06622
247.0,21.78794,61.40104,1.85649
248.0,62.70858,70.59789,2.11096
249.0,50.22619,51.98799,2.88779
250.0,42.69787,63.91229,1.82829
