day,nitrogen_dioxide,ozone,sulphur_dioxide
1.0,35.96313,68.90154,4.6007
2.0,70.5024,59.40534,5.41227
3.0,75.31664,40.81207,5.67836
4.0,77.61977,46.40003,3.7838
5.0,145.80757,14.96775,24.60268
6.0,137.76056,38.71658,15.40927
7.0,59.87464,41.97622,5.67836
8.0,70.78163,32.48002,3.7838
9.0,66.91312,46.74927,4.3213
10.0,69.39745,32.23056,4.04989
11.0,60.55597,74.04047,3.78114
12.0,59.14215,62.21595,5.13022
13.0,44.1448,58.12476,3.24098
14.0,75.01925,47.69723,4.04989
15.0,65.55668,35.42368,3.78114
16.0,78.62766,29.83572,4.04723
17.0,84.88105,35.32389,5.66506
18.0,157.02151,7.68345,19.69598
19.0,94.80358,12.27356,8.63462
20.0,101.58865,22.05249,9.17478
21.0,85.26355,24.94625,11.06136
22.0,188.71068,11.02624,22.9343
23.0,208.987,2.89377,22.6416
24.0,168.07958,11.9742,14.82654
25.0,149.63113,13.27141,19.67736
26.0,75.42948,33.77722,6.73208
27.0,99.65177,22.50152,11.04007
28.0,73.30278,62.91444,4.30534
29.0,72.99056,63.06412,3.22501
30.0,78.98529,44.25465,4.56344
31.0,63.48639,27.9398,4.29203
32.0,49.81202,51.48906,3.48578
33.0,40.43455,66.85595,5.0903
34.0,50.46896,76.08606,5.35373
35.0,99.11675,59.27229,9.89323
36.0,71.07376,49.16074,4.00732
37.0,86.03955,55.48046,8.28072
38.0,113.37061,63.91229,8.54149
39.0,66.23944,24.74668,2.40013
40.0,54.11801,46.89895,3.1984
41.0,62.71422,42.85766,4.00199
42.0,42.94041,43.9054,4.27075
43.0,51.05562,34.39256,4.27341
44.0,64.8151,31.03314,5.60918
45.0,72.16054,23.84862,7.75386
46.0,62.60856,48.29594,4.27873
47.0,75.55809,58.17466,2.94562
48.0,91.36538,57.67573,5.08498
49.0,71.58583,66.75617,3.48312
50.0,52.28201,61.11831,2.41078
51.0,49.97219,47.76375,3.48578
52.0,52.21651,66.70627,2.68219
53.0,31.46875,75.78671,3.75985
54.0,20.54264,74.98843,5.36437
55.0,107.51645,76.58499,4.29203
56.0,37.31033,80.37682,2.68219
57.0,27.02458,83.1708,4.29203
58.0,46.24138,87.06241,6.4314
59.0,65.5868,69.00133,5.89389
60.0,57.71543,72.79316,4.55546
61.0,62.83375,86.5136,2.67953
62.0,68.00754,52.88605,6.96091
63.0,65.14931,81.57424,6.42341
64.0,37.59879,80.42671,6.15732
65.0,70.99296,67.30498,5.08498
66.0,67.63604,64.36133,2.94562
67.0,82.66638,68.30283,4.54482
68.0,96.79449,76.58499,3.47514
69.0,54.39533,52.13766,3.47514
70.0,52.74579,53.83401,5.6145
71.0,73.68815,49.09422,7.47979
72.0,90.3269,73.04262,4.00732
73.0,67.33195,60.61939,2.93763
74.0,81.26738,56.62799,4.80825
75.0,62.56361,57.32648,2.66888
76.0,51.95928,71.69552,2.93497
77.0,27.81827,70.7143,3.46981
78.0,15.89001,72.5437,3.20372
79.0,48.7807,70.84735,4.26542
80.0,39.13597,77.43316,3.1984
81.0,69.45435,78.4809,3.73324
82.0,48.86916,67.00563,4.27075
83.0,42.00806,68.90154,2.66888
