day,nitrogen_dioxide,ozone,sulphur_dioxide
1.0,76.28771,46.94884,4.44104
2.0,46.90024,49.69293,2.35224
3.0,75.94251,67.65423,4.1856
4.0,64.59182,56.72777,3.40063
5.0,76.16579,60.32003,5.23665
6.0,79.40222,4.04129,9.94911
7.0,70.41108,73.94069,4.45435
8.0,80.17009,42.64146,3.14518
9.0,33.18953,72.4938,3.67204
10.0,51.81488,72.51043,4.7231
11.0,72.24851,68.10326,3.93813
12.0,47.0934,52.68648,3.15051
13.0,65.0972,51.68863,3.4166
14.0,59.31284,57.07702,3.4166
15.0,73.05702,52.28734,2.62631
16.0,78.35799,30.48432,4.46499
17.0,65.45978,40.91185,2.88974
18.0,81.3152,41.56045,6.55912
19.0,148.093,3.89162,18.62896
20.0,150.88334,5.03914,18.88973
21.0,102.61009,42.30884,8.39514
22.0,63.3989,42.17579,3.40595
23.0,69.01926,46.84906,3.14518
24.0,34.82137,41.9097,1.83602
25.0,43.18712,62.81466,2.61833
26.0,38.86822,65.30928,3.14252
27.0,24.75588,72.19445,2.39481
28.0,50.39246,68.40262,1.5992
29.0,29.35974,74.38972,2.66356
30.0,41.93873,82.62198,2.92965
31.0,36.43121,63.2138,2.93231
32.0,27.94354,79.67832,2.13404
33.0,47.05085,73.94069,2.40013
34.0,66.17059,54.08347,2.66888
35.0,78.16579,61.46756,3.46981
36.0,72.35513,69.25079,2.66888
37.0,17.13409,79.47875,4.00732
38.0,20.84816,82.82155,2.67154
39.0,26.83333,84.11876,3.20639
40.0,77.72496,73.49165,3.74389
41.0,97.778,59.72132,4.81357
42.0,101.6642,42.10927,12.30134
43.0,84.43688,45.85121,6.68418
44.0,74.84696,40.46282,4.01264
45.0,30.51585,67.25509,3.20905
46.0,71.08284,60.17036,2.67154
47.0,94.43064,60.02068,9.3504
48.0,67.95065,61.2181,4.54216
49.0,109.7512,51.83831,6.94495
50.0,78.89063,67.80391,3.47248
51.0,36.3375,70.4981,2.1367
52.0,18.30119,73.90742,2.1367
53.0,73.85501,67.8538,2.40545
54.0,90.74,53.2353,5.87261
55.0,140.56253,29.53636,14.41143
56.0,126.15519,48.04648,11.74255
57.0,93.92574,50.24175,8.27274
58.0,65.26853,59.32218,4.00199
59.0,35.39703,76.28563,2.66888
60.0,70.22222,68.40262,2.13404
61.0,45.55001,71.64563,4.27075
62.0,55.42282,75.188,2.93231
63.0,59.90476,73.49165,2.40013
64.0,86.2504,71.94499,4.26542
65.0,69.38614,70.14886,3.1984
66.0,64.45316,61.46756,2.93231
67.0,79.45768,64.5609,2.93231
68.0,89.20761,56.87745,6.93165
69.0,71.93917,61.36778,4.53151
70.0,105.69001,36.22196,3.73324
71.0,90.12656,39.51486,5.06635
72.0,100.78684,54.23315,5.86462
73.0,78.77588,68.65208,5.33244
74.0,53.1828,68.25294,3.1984
75.0,53.1785,60.46971,2.66622
76.0,37.94304,65.65853,2.40013
77.0,79.10817,74.5394,3.73324
78.0,81.58661,64.86025,4.80026
79.0,28.60813,81.12521,2.13404
80.0,40.57225,83.52005,2.66622
81.0,102.44928,72.94284,5.86462
82.0,87.58007,60.96864,6.13338
83.0,74.75819,50.94024,2.40013
84.0,62.04533,60.5695,2.40013
85.0,37.66956,82.82155,1.86529
86.0,26.30963,88.85854,4.00199
87.0,24.30118,85.01682,4.00199
88.0,31.23638,82.27273,5.60386
89.0,41.30618,78.03187,2.40279
90.0,83.83061,68.70197,2.67154
91.0,88.29678,71.24649,2.93763
92.0,85.41289,75.78671,4.27341
93.0,62.6535,92.84994,2.40545
94.0,77.16029,73.14241,2.67421
95.0,49.30568,75.78671,4.54482
96.0,56.15339,82.02327,2.40545
97.0,37.76183,79.47875,2.40545
98.0,75.14356,56.77767,
99.0,74.95518,67.55445,
100.0,62.55357,79.37897,
101.0,61.85168,85.86499,
102.0,78.49378,52.42039,
103.0,52.52586,83.91919,
104.0,88.80359,71.44606,
105.0,76.55546,86.01467,
106.0,64.93368,70.24864,
107.0,68.25999,80.22714,
108.0,92.79115,78.58069,
109.0,76.10029,71.94499,
110.0,47.88231,84.11876,
111.0,56.2624,69.99918,
112.0,56.27675,78.5308,
113.0,66.60951,76.83445,
114.0,81.74838,74.63918,
115.0,65.55285,84.81725,
116.0,56.30065,70.84735,
117.0,51.0298,73.69122,
118.0,56.12231,81.87359,
119.0,57.10582,76.88434,
120.0,48.64874,74.90527,
121.0,72.44741,81.67402,
122.0,76.45283,90.75446,
123.0,31.1857,71.99488,
124.0,90.32307,85.36607,
125.0,75.62089,96.89124,
126.0,85.99269,111.45985,
127.0,97.73544,94.89554,
128.0,82.34269,111.85899,4.04457
129.0,84.2826,134.46029,10.78197
130.0,85.1488,107.86759,9.17478
131.0,65.06516,62.61509,5.66506
132.0,59.62793,49.69293,6.20522
133.0,40.6776,128.17383,9.9837
134.0,23.7303,92.86657,4.3213
135.0,39.5811,90.85424,4.04989
