day,nitrogen_dioxide,ozone,sulphur_dioxide
1.0,58.12518,66.05767,4.85614
2.0,66.9069,25.64475,4.58207
3.0,59.41755,49.44347,2.4294
4.0,50.83282,66.65638,12.14169
5.0,64.47372,54.03358,1.88924
6.0,58.67215,43.9054,3.78114
7.0,45.6662,40.51271,3.24364
8.0,62.61143,48.5953,3.51505
9.0,118.07632,37.07013,15.40927
10.0,110.15873,16.56431,14.34225
11.0,100.10121,9.77893,7.58357
12.0,76.76106,36.5712,4.06319
13.0,67.56145,34.92475,2.16597
14.0,73.83254,52.5368,3.52569
15.0,78.11224,55.53035,5.15682
16.0,113.34957,14.91786,11.67071
17.0,169.46806,11.52517,18.99883
18.0,65.43667,34.67529,5.42291
19.0,54.70515,41.46067,3.25162
20.0,58.07976,54.03358,2.7088
21.0,97.77417,34.6254,6.50058
22.0,102.30823,15.71614,7.84699
23.0,73.56049,38.16776,8.11042
24.0,88.74574,35.02454,4.32662
25.0,97.71058,41.66024,6.48727
26.0,71.64273,69.2009,4.86146
27.0,41.52133,76.5351,2.9669
28.0,69.12158,72.09466,2.15799
29.0,68.71899,76.68477,2.4294
30.0,49.01546,71.8452,2.96424
31.0,43.97363,72.4938,2.42408
32.0,94.72565,66.15746,7.26958
33.0,81.13542,64.31143,4.84816
34.0,80.67881,56.97724,3.49642
35.0,46.15484,74.24004,5.64377
36.0,49.71831,79.37897,6.45002
37.0,43.48834,66.40692,3.76251
38.0,62.23944,50.14196,6.17595
39.0,76.64678,60.96864,20.65391
40.0,70.35227,62.5652,2.68219
41.0,55.58554,44.50411,3.48578
42.0,65.24733,45.10282,3.48312
43.0,59.24447,21.50367,2.49326
44.0,57.14215,30.5841,3.6002
45.0,77.13447,55.92949,3.32346
46.0,108.09833,59.47186,8.30999
47.0,90.86606,68.85165,4.43306
48.0,82.70798,63.56305,9.41693
49.0,86.37472,22.05249,7.75652
50.0,132.14323,9.77893,14.40345
51.0,55.20431,41.2611,7.47979
52.0,48.70755,54.23315,1.9398
53.0,46.84143,64.81036,3.04673
54.0,45.89713,66.15746,1.9398
55.0,30.94568,63.81251,3.32346
56.0,42.98487,68.60219,2.77
57.0,55.79814,60.96864,3.6002
58.0,61.67765,60.71917,2.49326
59.0,76.29154,59.17251,3.32613
60.0,54.5335,71.44606,2.77266
61.0,105.77655,79.92779,9.7043
62.0,125.25967,60.66928,14.70946
63.0,92.04815,44.10497,6.38882
64.0,110.41197,70.59789,13.05704
65.0,98.11316,10.47743,3.89024
66.0,94.72326,5.48818,7.22967
67.0,72.15544,2.6942,4.73108
68.0,40.52157,38.21766,2.7833
69.0,27.30907,67.65423,2.50391
70.0,29.10729,77.78241,2.78596
71.0,59.11538,80.4766,4.74172
72.0,62.03911,69.05122,6.69216
73.0,95.73593,68.95144,15.86429
74.0,47.62364,74.98843,1.94778
75.0,32.32603,86.06456,2.22185
76.0,71.55045,81.47445,2.77266
77.0,109.10191,43.10712,9.68568
78.0,100.67257,54.5824,3.04141
79.0,61.89137,51.13981,3.31548
80.0,77.28747,44.75357,4.13504
81.0,70.25999,35.62325,5.50274
82.0,59.47827,55.58025,2.1979
83.0,52.28584,61.2181,3.29419
84.0,46.14193,77.38327,3.0148
85.0,58.00565,79.42886,3.00948
86.0,57.78953,69.25079,5.19142
87.0,56.93943,83.42026,3.5523
88.0,57.65375,91.90199,2.73274
89.0,59.44002,89.00822,2.45867
90.0,64.20406,92.70027,2.73274
91.0,41.01739,101.08221,2.45867
92.0,43.78908,90.505,3.4166
93.0,39.22298,85.66542,4.37186
94.0,43.28322,92.75016,1.77748
95.0,36.10991,93.29898,1.3677
96.0,102.69503,102.4293,1.77748
97.0,99.83951,102.52909,3.27823
98.0,74.54017,75.58714,6.14934
99.0,86.4187,51.63874,4.64593
100.0,72.25521,60.07057,4.23615
101.0,98.24417,59.57165,4.09779
102.0,91.90375,66.5067,2.32297
103.0,64.11035,81.12521,1.09363
104.0,31.12976,97.83919,2.86845
105.0,35.5156,102.97812,3.00682
106.0,38.74677,91.65252,3.4166
107.0,43.97603,85.8151,3.00682
108.0,31.30858,93.89769,2.86845
109.0,90.08401,75.43746,1.3677
110.0,83.78902,72.89294,1.77748
111.0,79.9621,89.95618,4.37718
112.0,49.07714,80.12736,3.69333
113.0,66.07879,72.59359,1.91585
114.0,70.7778,39.66454,2.5997
115.0,46.89976,108.81554,3.55496
116.0,65.62696,80.97553,5.06103
117.0,48.90406,86.26413,2.18726
118.0,72.31736,86.4637,3.41926
119.0,96.68309,75.58714,3.01214
120.0,50.9074,70.09896,2.87377
121.0,73.32525,82.72177,2.46399
122.0,100.9604,90.95403,2.60236
123.0,104.5406,88.40951,7.11791
124.0,27.61315,91.90199,2.32829
125.0,38.49002,65.90799,4.65391
