day,nitrogen_dioxide,ozone,sulphur_dioxide
1.0,12.04875,48.89465,0.53218
2.0,12.24,76.43531,0.53218
3.0,24.67125,76.03617,0.53218
4.0,48.5775,61.8667,0.79827
5.0,62.15625,55.8796,1.06436
6.0,55.845,69.25079,2.6609
7.0,38.6325,74.83875,0.79827
8.0,26.96625,73.04262,0.79827
9.0,69.615,62.06627,1.59654
10.0,72.2925,44.90325,3.72526
11.0,52.97625,50.09207,1.33045
12.0,79.9425,15.76603,5.58789
13.0,78.98625,13.17162,5.05571
14.0,104.4225,3.39269,9.04706
15.0,76.1175,15.56646,2.12872
16.0,53.55,46.69938,1.33045
17.0,99.45,33.9269,8.78097
18.0,87.5925,39.71443,12.24014
19.0,50.8725,51.08992,1.06436
20.0,60.62625,66.25724,2.39481
21.0,74.205,32.92905,2.92699
22.0,55.08,55.8796,0.53218
23.0,36.14625,62.66498,0.79827
24.0,62.3475,59.67143,0.79827
25.0,46.85625,40.71228,0.79827
26.0,54.315,43.9054,3.19308
27.0,63.1125,60.07057,1.06436
28.0,62.3475,59.27229,1.33045
29.0,25.245,80.22714,0.53218
30.0,54.315,67.65423,1.06436
31.0,48.38625,77.63273,2.39481
32.0,,66.05767,
33.0,,64.46111,
34.0,,69.25079,0.79827
35.0,32.5125,82.02327,1.86263
36.0,26.96625,76.63488,1.06436
37.0,13.57875,77.63273,1.06436
38.0,64.45125,73.64133,1.06436
39.0,23.14125,79.02972,0.53218
40.0,31.7475,73.44176,0.79827
41.0,50.49,63.26369,0.79827
42.0,59.47875,59.07272,1.59654
43.0,29.835,70.64778,0.79827
44.0,12.6225,72.84305,1.06436
45.0,28.49625,68.05337,1.33045
46.0,46.09125,75.23789,1.06436
47.0,17.02125,83.02112,1.33045
48.0,24.48,84.81725,1.33045
49.0,16.25625,86.61338,1.59654
50.0,43.605,73.8409,1.06436
51.0,10.71,86.21424,1.06436
52.0,55.845,79.02972,1.33045
53.0,64.83375,83.02112,1.06436
54.0,38.25,78.43101,0.79827
55.0,26.775,83.22069,1.33045
56.0,94.66875,74.63918,3.72526
57.0,72.48375,81.02542,1.33045
58.0,30.2175,69.8495,1.06436
59.0,34.61625,73.04262,0.79827
60.0,43.79625,52.68648,0.79827
61.0,72.48375,46.89895,2.6609
62.0,61.77375,68.65208,2.39481
63.0,35.19,65.65853,1.06436
64.0,22.5675,70.24864,1.06436
65.0,17.02125,78.43101,0.79827
66.0,31.55625,73.8409,1.33045
67.0,33.85125,55.28089,1.33045
68.0,22.95,80.22714,1.06436
69.0,38.25,77.63273,1.33045
70.0,19.5075,70.64778,1.06436
71.0,16.4475,88.40951,1.06436
72.0,21.8025,85.21639,1.06436
73.0,50.68125,81.62413,1.59654
74.0,67.89375,82.22284,2.39481
75.0,52.4025,75.03832,1.59654
76.0,57.56625,74.83875,2.12872
77.0,63.495,79.02972,5.3218
78.0,20.08125,78.23144,2.39481
79.0,34.99875,87.61123,1.86263
80.0,78.4125,90.40521,3.19308
81.0,88.16625,102.17984,3.72526
82.0,108.43875,120.34071,5.05571
83.0,101.93625,107.56823,5.85398
84.0,83.19375,116.94802,3.45917
85.0,29.26125,120.73985,2.39481
86.0,47.8125,68.05337,1.06436
