day,nitrogen_dioxide,ozone,sulphur_dioxide
1.0,50.31042,26.49292,
2.0,35.26874,67.50455,1.95764
3.0,66.71897,69.89939,5.21964
4.0,63.66872,,3.26182
5.0,42.08386,,3.26137
6.0,59.1011,,4.56529
7.0,47.38823,,3.91256
8.0,57.45388,,2.93401
9.0,34.41417,,5.54125
10.0,64.1372,55.72992,6.51821
11.0,16.77073,74.38972,4.88798
12.0,34.45198,74.17352,1.95492
13.0,40.72279,77.93209,9.44747
14.0,40.88819,78.73037,3.90904
15.0,45.56814,80.02757,5.53744
16.0,43.20277,61.31788,4.55995
17.0,43.20585,68.10326,4.23396
18.0,70.31156,58.37423,3.58234
19.0,71.11547,48.04648,8.4668
20.0,84.60457,5.88732,8.79187
21.0,87.99151,6.48603,9.7681
22.0,68.84129,31.83142,6.83722
23.0,57.41677,42.50841,4.55785
24.0,58.4938,35.47357,4.55755
25.0,47.04745,51.28949,3.58069
26.0,46.35878,58.27444,3.58046
27.0,69.43578,72.19445,6.18402
28.0,40.6103,82.02327,3.57999
29.0,60.34665,64.511,3.57975
30.0,34.82622,67.8538,6.1828
31.0,27.14735,66.7229,4.23063
32.0,28.50419,79.67832,3.58001
33.0,26.79545,72.64348,3.58026
34.0,46.50696,73.89079,2.27851
35.0,56.77921,68.85165,5.53389
36.0,73.74144,27.54066,8.46419
37.0,83.9061,22.15227,8.79034
38.0,67.70716,45.55185,7.81418
39.0,39.62444,72.94284,4.55859
40.0,8.69304,82.5222,6.51272
41.0,21.3279,76.4852,5.53619
42.0,32.97231,79.09624,4.55953
43.0,64.01854,71.97825,4.55985
44.0,48.35189,86.76306,8.46887
45.0,66.76999,73.14241,4.23473
46.0,9.97516,65.35918,6.18965
47.0,15.90747,86.41381,6.19008
48.0,26.78481,78.16492,5.21306
49.0,31.79885,75.68692,5.53926
50.0,47.62911,80.37682,4.2362
51.0,37.69746,83.1708,5.86591
52.0,33.55961,82.92134,3.91087
53.0,13.1545,82.37252,7.17043
54.0,60.65093,81.35804,9.77854
55.0,37.27904,73.44176,4.23766
56.0,31.47875,72.94284,5.90114
57.0,58.85188,73.49165,4.28622
58.0,70.61225,75.188,6.63153
59.0,43.07906,61.26799,3.66789
60.0,20.99039,81.72392,4.78204
61.0,30.59883,84.61768,4.50922
62.0,52.28842,76.63488,4.23724
63.0,80.6523,64.41122,7.40339
64.0,69.69205,62.61509,4.22377
65.0,30.19921,68.5523,5.79843
66.0,96.50487,68.05337,5.52602
67.0,80.97763,84.26843,6.04263
68.0,24.80011,85.88162,3.93453
69.0,49.92374,73.79101,7.0708
70.0,20.05049,71.77868,6.79798
71.0,28.23616,85.8151,3.92524
72.0,23.11285,83.61983,2.61904
73.0,31.39363,72.24434,4.71827
74.0,27.68361,76.38542,6.29636
75.0,66.26426,82.02327,4.72626
76.0,57.19303,69.2009,3.67909
77.0,28.95834,73.79101,3.41918
78.0,26.12918,71.04692,3.15883
79.0,33.684,61.31788,3.6884
80.0,20.17636,71.29638,3.16415
81.0,29.90308,73.8409,3.43072
82.0,28.30486,69.94929,3.4336
83.0,79.41162,58.77337,4.22952
84.0,46.02521,96.64177,3.9685
85.0,80.03661,88.55919,3.70704
86.0,33.62349,99.03661,3.71015
87.0,22.85233,110.66157,3.70856
88.0,10.4706,104.4749,3.1774
89.0,9.94006,87.26198,2.64669
90.0,26.945,87.36177,5.02656
91.0,28.85295,87.21209,3.43774
92.0,53.08632,84.71747,4.49358
93.0,46.83005,84.71747,4.49165
94.0,66.9803,88.75876,3.69741
95.0,46.00216,96.34242,3.16784
96.0,21.57819,107.81769,4.22197
97.0,47.50894,98.98672,4.22015
98.0,63.50299,102.62887,3.4274
99.0,74.99913,110.16264,4.74358
100.0,71.18782,113.50544,4.47811
101.0,60.42223,116.19963,5.26609
102.0,54.98202,131.41685,4.47425
103.0,23.95196,123.28437,5.52462
104.0,10.74209,90.95403,4.20742
105.0,23.17242,93.09941,3.1542
106.0,45.55788,101.28178,6.30566
107.0,65.29489,88.70887,5.25244
108.0,24.56914,89.10801,3.1501
109.0,39.76251,76.73467,3.14874
110.0,36.90233,104.72436,3.14737
111.0,17.14697,104.425,4.98118
112.0,17.61809,114.55318,3.93411
113.0,24.08201,116.24953,4.72285
114.0,43.42707,127.82459,6.0372
115.0,29.86479,140.3975,5.77706
116.0,30.02898,97.73941,3.9405
117.0,20.5623,117.0977,3.41649
118.0,36.39707,96.59188,4.99535
119.0,21.65364,82.75503,3.15624
120.0,30.8246,75.93639,4.47315
121.0,15.24482,80.75933,3.68526
122.0,14.43861,78.23144,3.68675
123.0,43.82635,89.8065,3.95169
124.0,35.13656,90.25553,2.37197
125.0,19.04533,97.53984,3.69123
126.0,13.48102,92.00177,3.69272
127.0,36.14244,106.37081,3.42787
128.0,46.62713,124.46516,4.21757
129.0,80.83772,130.06975,4.47974
130.0,73.37118,137.80309,4.47832
131.0,20.01785,113.82142,4.74024
132.0,12.13374,77.76578,4.47547
133.0,34.80095,89.25768,4.47404
134.0,12.79621,87.96048,3.15714
135.0,26.59037,89.75661,2.63011
136.0,40.50645,98.28823,2.8922
137.0,73.95831,92.84994,3.41697
138.0,38.92158,89.50715,1.83932
139.0,14.795,97.09081,3.15211
140.0,56.226,93.64822,3.4137
141.0,48.94195,95.39446,3.4126
142.0,51.84099,132.01556,4.46121
143.0,11.66594,112.8901,3.67277
144.0,6.43115,74.28993,3.67159
145.0,53.1767,82.42241,3.40825
146.0,43.16939,105.82199,2.88298
147.0,40.04841,108.86544,2.88206
148.0,34.8379,104.72436,3.14305
149.0,13.7547,81.52435,4.97491
150.0,23.41513,95.49425,4.71156
